日期,营业执照,产品线,消耗量
2026-07-20,91110000MA01A0001X,短剧投放,1.22
2026-07-20,91110000MA01A0001X,品牌广告,1.08
2026-07-21,91110000MA01A0001X,短剧投放,1.03
2026-07-21,91110000MA01A0001X,品牌广告,0.96
2026-07-22,91110000MA01A0001X,短剧投放,1.15
2026-07-22,91110000MA01A0001X,品牌广告,0.94
2026-07-23,91110000MA01A0001X,短剧投放,1.21
2026-07-23,91110000MA01A0001X,品牌广告,0.95
2026-07-24,91110000MA01A0001X,短剧投放,1.11
2026-07-24,91110000MA01A0001X,品牌广告,0.84
2026-07-25,91110000MA01A0001X,短剧投放,1.69
2026-07-25,91110000MA01A0001X,品牌广告,1
2026-07-26,91110000MA01A0001X,短剧投放,1.07
2026-07-26,91110000MA01A0001X,品牌广告,0.97
2026-07-27,91110000MA01A0001X,短剧投放,1.18
2026-07-27,91110000MA01A0001X,品牌广告,1.09
2026-07-28,91110000MA01A0001X,短剧投放,1.44
2026-07-28,91110000MA01A0001X,品牌广告,1.03
2026-07-29,91110000MA01A0001X,短剧投放,1.6
2026-07-29,91110000MA01A0001X,品牌广告,0.73
2026-07-30,91110000MA01A0001X,短剧投放,1.77
2026-07-30,91110000MA01A0001X,品牌广告,0.88
2026-07-31,91110000MA01A0001X,短剧投放,1.47
2026-07-31,91110000MA01A0001X,品牌广告,0.74
2026-08-01,91110000MA01A0001X,短剧投放,1.39
2026-08-01,91110000MA01A0001X,品牌广告,0.88
2026-08-02,91110000MA01A0001X,短剧投放,1.58
2026-08-02,91110000MA01A0001X,品牌广告,1.39
2026-08-03,91110000MA01A0001X,短剧投放,1.35
2026-08-03,91110000MA01A0001X,品牌广告,1.18
2026-08-04,91110000MA01A0001X,短剧投放,1.57
2026-08-04,91110000MA01A0001X,品牌广告,0.89
2026-08-05,91110000MA01A0001X,短剧投放,1.99
2026-08-05,91110000MA01A0001X,品牌广告,1.25
2026-08-06,91110000MA01A0001X,短剧投放,1.91
2026-08-06,91110000MA01A0001X,品牌广告,0.89
2026-08-07,91110000MA01A0001X,短剧投放,1.52
2026-08-07,91110000MA01A0001X,品牌广告,0.84
2026-08-08,91110000MA01A0001X,短剧投放,1.96
2026-08-08,91110000MA01A0001X,品牌广告,1.29
2026-08-09,91110000MA01A0001X,短剧投放,1.79
2026-08-09,91110000MA01A0001X,品牌广告,1.31
2026-08-10,91110000MA01A0001X,短剧投放,1.65
2026-08-10,91110000MA01A0001X,品牌广告,1.25
2026-08-11,91110000MA01A0001X,短剧投放,2.2
2026-08-11,91110000MA01A0001X,品牌广告,1.23
2026-08-12,91110000MA01A0001X,短剧投放,1.26
2026-08-12,91110000MA01A0001X,品牌广告,1.19
2026-08-13,91110000MA01A0001X,短剧投放,1.91
2026-08-13,91110000MA01A0001X,品牌广告,1.14
2026-08-14,91110000MA01A0001X,短剧投放,2.02
2026-08-14,91110000MA01A0001X,品牌广告,1
2026-08-15,91110000MA01A0001X,短剧投放,2.34
2026-08-15,91110000MA01A0001X,品牌广告,1.08
2026-08-16,91110000MA01A0001X,短剧投放,1.97
2026-08-16,91110000MA01A0001X,品牌广告,1.42
2026-08-17,91110000MA01A0001X,短剧投放,1.57
2026-08-17,91110000MA01A0001X,品牌广告,1.36
2026-08-18,91110000MA01A0001X,短剧投放,1.75
2026-08-18,91110000MA01A0001X,品牌广告,1.65
2026-07-20,91110000MA01A0003X,游戏效果,2.96
2026-07-20,91110000MA01A0003X,直播推广,2.75
2026-07-21,91110000MA01A0003X,游戏效果,3.2
2026-07-21,91110000MA01A0003X,直播推广,1.49
2026-07-22,91110000MA01A0003X,游戏效果,3.69
2026-07-22,91110000MA01A0003X,直播推广,1.8
2026-07-23,91110000MA01A0003X,游戏效果,3.07
2026-07-23,91110000MA01A0003X,直播推广,2.24
2026-07-24,91110000MA01A0003X,游戏效果,2.72
2026-07-24,91110000MA01A0003X,直播推广,1.8
2026-07-25,91110000MA01A0003X,游戏效果,2.72
2026-07-25,91110000MA01A0003X,直播推广,1.94
2026-07-26,91110000MA01A0003X,游戏效果,3.02
2026-07-26,91110000MA01A0003X,直播推广,2.09
2026-07-27,91110000MA01A0003X,游戏效果,2.65
2026-07-27,91110000MA01A0003X,直播推广,2.09
2026-07-28,91110000MA01A0003X,游戏效果,3.71
2026-07-28,91110000MA01A0003X,直播推广,2.71
2026-07-29,91110000MA01A0003X,游戏效果,3.28
2026-07-29,91110000MA01A0003X,直播推广,2.35
2026-07-30,91110000MA01A0003X,游戏效果,4.13
2026-07-30,91110000MA01A0003X,直播推广,2.2
2026-07-31,91110000MA01A0003X,游戏效果,3.61
2026-07-31,91110000MA01A0003X,直播推广,1.94
2026-08-01,91110000MA01A0003X,游戏效果,3.21
2026-08-01,91110000MA01A0003X,直播推广,2.73
2026-08-02,91110000MA01A0003X,游戏效果,3.71
2026-08-02,91110000MA01A0003X,直播推广,2.17
2026-08-03,91110000MA01A0003X,游戏效果,3.86
2026-08-03,91110000MA01A0003X,直播推广,2.24
2026-08-04,91110000MA01A0003X,游戏效果,3.58
2026-08-04,91110000MA01A0003X,直播推广,1.83
2026-08-05,91110000MA01A0003X,游戏效果,3.15
2026-08-05,91110000MA01A0003X,直播推广,1.89
2026-08-06,91110000MA01A0003X,游戏效果,3.61
2026-08-06,91110000MA01A0003X,直播推广,3.27
2026-08-07,91110000MA01A0003X,游戏效果,3.42
2026-08-07,91110000MA01A0003X,直播推广,3.24
2026-08-08,91110000MA01A0003X,游戏效果,3.4
2026-08-08,91110000MA01A0003X,直播推广,2.76
2026-08-09,91110000MA01A0003X,游戏效果,4.17
2026-08-09,91110000MA01A0003X,直播推广,1.95
2026-08-10,91110000MA01A0003X,游戏效果,3.55
